,Colour,Memory,RAM,Battery_,AI Lens,Mobile Height,Processor_,Prize,Price Category,battery_efficiency,Rear_Camera_MP,Front_Camera_MP,price_per_ram,price_per_memory,Brand,Series,Model_Number
114,175,128.0,6.0,4871.587800369686,0.0,17.02,75,10999.0,10K-15K,811.9313000616144,50,5,1833.1666666666667,85.9296875,12,1,12.0
115,164,128.0,4.0,4871.587800369686,0.0,16.76,10,13490.0,10K-15K,1217.8969500924215,50,13,3372.5,105.390625,14,42,12.0
116,164,128.0,4.0,4871.587800369686,0.0,16.43120147874307,99,1422.0,<5K,1217.8969500924215,0,0,355.5,11.109375,17,106,12.0
117,67,110.55083179297597,8.0,4871.587800369686,0.0,16.64,6,29999.0,20K+,608.9484750462108,50,32,3749.875,271.35933319957195,6,32,12.0
118,67,110.55083179297597,8.0,4871.587800369686,0.0,16.43120147874307,99,1299.0,<5K,608.9484750462108,0,0,162.375,11.750250802568218,17,0,12.0
119,273,64.0,4.0,5000.0,0.0,16.71,47,11999.0,10K-15K,1250.0,50,8,2999.75,187.484375,11,49,12.0
120,273,128.0,6.0,5000.0,0.0,16.71,47,13999.0,10K-15K,833.3333333333334,50,8,2333.1666666666665,109.3671875,11,49,12.0
121,145,64.0,4.0,4871.587800369686,0.0,17.02,75,9499.0,5K-10K,1217.8969500924215,50,5,2374.75,148.421875,12,1,12.0
122,106,64.0,2.0,5000.0,0.0,16.76,107,6199.0,5K-10K,2500.0,8,5,3099.5,96.859375,4,63,12.0
123,212,64.0,2.0,5000.0,0.0,16.76,107,6199.0,5K-10K,2500.0,8,5,3099.5,96.859375,4,63,12.0
124,112,64.0,2.0,5000.0,0.0,16.76,107,6199.0,5K-10K,2500.0,8,5,3099.5,96.859375,4,63,12.0
125,197,128.0,6.0,5000.0,0.0,16.51,41,12499.0,10K-15K,833.3333333333334,48,16,2083.1666666666665,97.6484375,20,54,12.0
126,2,64.0,4.0,5000.0,0.0,17.02,59,9999.0,5K-10K,1250.0,50,8,2499.75,156.234375,4,53,12.0
127,113,110.55083179297597,8.0,5000.0,0.0,16.94,77,17999.0,15K-20K,625.0,48,13,2249.875,162.81198167469236,11,74,12.0
128,202,64.0,4.0,5000.0,0.0,16.26,64,12499.0,10K-15K,1250.0,50,16,3124.75,195.296875,20,1,12.0
129,222,64.0,4.0,5000.0,0.0,16.76,42,11499.0,10K-15K,1250.0,50,16,2874.75,179.671875,20,8,12.0
130,164,128.0,6.0,4871.587800369686,0.0,16.76,10,14490.0,10K-15K,811.9313000616144,50,13,2415.0,113.203125,14,42,12.0
131,120,32.0,2.0,5000.0,0.0,16.56,56,6299.0,5K-10K,2500.0,8,5,3149.5,196.84375,12,12,12.0
132,164,128.0,6.0,4871.587800369686,0.0,16.76,10,14490.0,10K-15K,811.9313000616144,50,13,2415.0,113.203125,14,42,12.0
133,164,128.0,4.0,4871.587800369686,0.0,16.43120147874307,27,2615.0,<5K,1217.8969500924215,2,0,653.75,20.4296875,7,6,12.0
134,196,128.0,6.0,5000.0,0.0,16.51,41,12499.0,10K-15K,833.3333333333334,48,16,2083.1666666666665,97.6484375,20,54,12.0
135,36,128.0,6.0,4871.587800369686,0.0,16.43120147874307,15,28999.0,20K+,811.9313000616144,12,8,4833.166666666667,226.5546875,1,58,12.0
136,37,128.0,6.0,4871.587800369686,0.0,16.43120147874307,15,28999.0,20K+,811.9313000616144,12,8,4833.166666666667,226.5546875,1,58,12.0
137,25,32.0,2.0,5000.0,0.0,16.56,56,6299.0,5K-10K,2500.0,8,5,3149.5,196.84375,12,12,12.0
138,28,64.0,4.0,5000.0,0.0,16.76,7,11499.0,10K-15K,1250.0,50,8,2874.75,179.671875,4,43,12.0
139,139,64.0,4.0,5000.0,0.0,17.02,59,9999.0,5K-10K,1250.0,50,8,2499.75,156.234375,4,53,12.0
140,238,128.0,8.0,5000.0,0.0,16.81,95,23999.0,20K+,625.0,50,16,2999.875,187.4921875,20,41,12.0
141,176,128.0,8.0,5000.0,0.0,16.81,95,23999.0,20K+,625.0,50,16,2999.875,187.4921875,20,41,12.0
142,39,64.0,4.0,5000.0,0.0,16.26,64,12499.0,10K-15K,1250.0,50,16,3124.75,195.296875,20,1,12.0
143,248,64.0,6.0,5000.0,0.0,16.94,103,14999.0,10K-15K,833.3333333333334,50,13,2499.8333333333335,234.359375,12,57,12.0
144,223,64.0,4.0,5000.0,0.0,16.76,7,11499.0,10K-15K,1250.0,50,8,2874.75,179.671875,4,43,12.0
145,85,128.0,6.0,5000.0,0.0,16.94,73,18999.0,15K-20K,833.3333333333334,48,13,3166.5,148.4296875,12,57,12.0
146,132,128.0,6.0,5000.0,0.0,16.94,73,18999.0,15K-20K,833.3333333333334,48,13,3166.5,148.4296875,12,57,12.0
147,154,128.0,6.0,5000.0,0.0,16.94,73,18999.0,15K-20K,833.3333333333334,48,13,3166.5,148.4296875,12,57,12.0
148,80,64.0,4.0,5000.0,0.0,17.02,59,9999.0,5K-10K,1250.0,50,8,2499.75,156.234375,4,53,12.0
149,132,128.0,4.0,5000.0,0.0,16.94,73,16999.0,15K-20K,1250.0,48,13,4249.75,132.8046875,12,57,12.0
150,154,128.0,4.0,5000.0,0.0,16.94,73,16999.0,15K-20K,1250.0,48,13,4249.75,132.8046875,12,57,12.0
151,195,64.0,4.0,5000.0,0.0,16.76,7,11499.0,10K-15K,1250.0,50,8,2874.75,179.671875,4,43,12.0
152,195,64.0,4.0,4871.587800369686,0.0,16.43120147874307,0,2490.0,<5K,1217.8969500924215,2,0,622.5,38.90625,17,6,12.0
153,56,64.0,4.0,5000.0,0.0,16.51,43,7961.0,5K-10K,1250.0,13,5,1990.25,124.390625,14,42,12.0
154,157,110.55083179297597,8.0,4871.587800369686,0.0,16.64,6,29999.0,20K+,608.9484750462108,50,32,3749.875,271.35933319957195,6,32,12.0
155,157,110.55083179297597,8.0,4871.587800369686,0.0,16.43120147874307,99,1299.0,<5K,608.9484750462108,0,0,162.375,11.750250802568218,17,5,12.0
156,157,110.55083179297597,4.0,4871.587800369686,0.0,16.43120147874307,27,2499.0,<5K,1217.8969500924215,2,0,624.75,22.60498595505618,17,6,12.0
157,79,128.0,6.0,5000.0,0.0,16.71,22,11999.0,10K-15K,833.3333333333334,50,8,1999.8333333333333,93.7421875,12,3,12.0
158,180,128.0,6.0,5000.0,0.0,16.71,22,11999.0,10K-15K,833.3333333333334,50,8,1999.8333333333333,93.7421875,12,3,12.0
159,237,110.55083179297597,8.0,4871.587800369686,0.0,16.76,8,23999.0,20K+,608.9484750462108,64,16,2999.875,217.08565743713217,12,46,12.0
160,34,64.0,4.0,5000.0,0.0,16.51,109,8999.0,5K-10K,1250.0,48,8,2249.75,140.609375,6,91,12.0
161,44,128.0,6.0,5000.0,0.0,16.59,57,9499.0,5K-10K,833.3333333333334,13,5,1583.1666666666667,74.2109375,12,9,12.0
162,101,64.0,6.0,5000.0,0.0,16.94,103,14999.0,10K-15K,833.3333333333334,50,13,2499.8333333333335,234.359375,12,57,12.0
163,43,128.0,6.0,5000.0,0.0,16.76,83,16999.0,15K-20K,833.3333333333334,50,8,2833.1666666666665,132.8046875,14,42,12.0
164,11,64.0,4.0,5000.0,0.0,16.43,75,11248.0,10K-15K,1250.0,50,16,2812.0,175.75,6,95,12.0
165,269,128.0,4.0,4871.587800369686,0.0,16.51,39,9999.0,5K-10K,1217.8969500924215,13,8,2499.75,78.1171875,20,23,12.0
166,99,110.55083179297597,8.0,5000.0,0.0,16.94,84,23999.0,20K+,625.0,108,16,2999.875,217.08565743713217,11,74,12.0
167,224,128.0,6.0,5000.0,0.0,16.76,42,17999.0,15K-20K,833.3333333333334,50,16,2999.8333333333335,140.6171875,20,8,12.0
168,39,128.0,8.0,5000.0,0.0,16.26,64,15499.0,15K-20K,625.0,50,16,1937.375,121.0859375,20,1,12.0
169,46,64.0,2.0,5000.0,0.0,16.51,114,6799.0,5K-10K,2500.0,13,5,3399.5,106.234375,6,88,12.0
170,81,128.0,6.0,5000.0,0.0,16.76,83,16999.0,15K-20K,833.3333333333334,50,8,2833.1666666666665,132.8046875,14,42,12.0
171,273,128.0,6.0,5000.0,0.0,16.51,28,14499.0,10K-15K,833.3333333333334,48,8,2416.5,113.2734375,11,48,12.0
172,80,32.0,2.0,5000.0,0.0,16.76,56,5999.0,5K-10K,2500.0,8,5,2999.5,187.46875,4,63,12.0
173,4,32.0,2.0,5000.0,0.0,16.76,56,5999.0,5K-10K,2500.0,8,5,2999.5,187.46875,4,63,12.0
174,172,32.0,2.0,5000.0,0.0,16.76,56,5999.0,5K-10K,2500.0,8,5,2999.5,187.46875,4,63,12.0
175,8,110.55083179297597,8.0,5000.0,0.0,16.94,84,23999.0,20K+,625.0,108,16,2999.875,217.08565743713217,11,74,12.0
176,85,128.0,4.0,5000.0,0.0,16.94,73,16999.0,15K-20K,1250.0,48,13,4249.75,132.8046875,12,57,12.0
177,126,64.0,6.0,5000.0,0.0,16.94,103,14999.0,10K-15K,833.3333333333334,50,13,2499.8333333333335,234.359375,12,57,12.0
